Respondent,Platform
718,iOS
718,Linux
718,Windows
718,Other(s):
721,Docker
721,Linux
725,Arduino
725,Windows
729,Arduino
729,Docker
729,Heroku
729,Kubernetes
729,Linux
729,MacOS
729,Raspberry Pi
729,Windows
731,Linux
731,Windows
731,WordPress
732,Slack
732,Windows
740,AWS
741,Google Cloud Platform
741,Heroku
741,WordPress
743,Linux
742,Docker
742,Kubernetes
742,Linux
742,Slack
744,Android
744,iOS
744,MacOS
744,Microsoft Azure
746,Android
746,AWS
746,Docker
746,Google Cloud Platform
746,Heroku
746,Kubernetes
746,Linux
749,Android
749,iOS
749,Windows
751,Docker
751,Linux
752,Windows
753,Microsoft Azure
753,Windows
756,Android
756,AWS
756,Linux
758,AWS
758,Docker
758,Kubernetes
760,Windows
762,Microsoft Azure
762,Windows
764,Windows
768,Android
768,AWS
768,Docker
768,Google Cloud Platform
768,Heroku
768,IBM Cloud or Watson
768,Kubernetes
768,Linux
768,Microsoft Azure
768,Slack
768,Windows
768,WordPress
769,Android
769,AWS
769,Docker
769,Kubernetes
769,MacOS
769,Microsoft Azure
769,Slack
769,Windows
770,AWS
770,Docker
770,Linux
770,Raspberry Pi
770,Slack
771,AWS
771,Docker
771,Google Cloud Platform
771,Kubernetes
771,Linux
771,MacOS
771,Slack
773,Android
773,AWS
773,Docker
776,Google Cloud Platform
776,MacOS
776,Slack
777,Arduino
777,Linux
779,AWS
779,Docker
780,Linux
780,Raspberry Pi
780,Slack
785,AWS
785,Docker
785,Linux
785,MacOS
786,MacOS
787,AWS
787,Slack
787,Windows
787,WordPress
789,Docker
789,Microsoft Azure
791,Docker
791,Linux
791,Raspberry Pi
791,Windows
799,Windows
799,Other(s):
816,iOS
816,MacOS
828,Microsoft Azure
828,Slack
828,Windows
829,Docker
829,Linux
831,Linux
831,Windows
832,Android
832,AWS
832,Linux
832,Windows
837,Android
837,Windows
843,Docker
843,Kubernetes
843,Linux
843,MacOS
843,Microsoft Azure
843,Windows
843,WordPress
844,AWS
844,Docker
844,Heroku
844,Linux
844,MacOS
844,Slack
845,Windows
846,Docker
846,Kubernetes
846,Linux
846,Microsoft Azure
848,AWS
848,Heroku
848,Microsoft Azure
848,WordPress
850,AWS
850,Docker
850,Slack
853,Linux
853,MacOS
853,Slack
853,Windows
857,Android
857,Linux
857,Microsoft Azure
857,Windows
860,AWS
860,Docker
860,Linux
860,Microsoft Azure
861,Docker
861,Microsoft Azure
861,Windows
869,Android
869,Heroku
864,AWS
864,Docker
864,Linux
864,MacOS
864,Windows
870,Docker
870,Heroku
870,Linux
870,MacOS
870,Raspberry Pi
870,Slack
872,AWS
872,Docker
872,Linux
872,MacOS
872,Microsoft Azure
872,Slack
873,Windows
907,Docker
907,Kubernetes
907,Linux
907,Slack
874,AWS
874,Docker
874,Google Cloud Platform
874,Kubernetes
874,Linux
874,MacOS
874,Slack
880,AWS
880,Docker
880,Linux
880,MacOS
880,Slack
882,Linux
884,Docker
884,Kubernetes
884,Linux
884,MacOS
890,Android
890,iOS
890,Windows
896,Android
896,Heroku
896,iOS
896,MacOS
898,AWS
898,Docker
898,Slack
898,Windows
900,Android
900,Linux
900,Microsoft Azure
900,Raspberry Pi
900,Windows
901,AWS
901,Slack
901,Windows
909,Docker
909,Google Cloud Platform
909,Kubernetes
909,Linux
909,Microsoft Azure
909,Windows
910,Android
910,Arduino
910,AWS
910,Heroku
910,iOS
910,MacOS
910,Raspberry Pi
910,Slack
915,AWS
915,Docker
915,Kubernetes
915,Microsoft Azure
916,Windows
917,Android
917,iOS
917,Microsoft Azure
917,Windows
918,Android
918,Linux
918,Slack
918,WordPress
920,Android
920,iOS
920,Windows
923,Linux
923,MacOS
926,Arduino
926,Linux
927,Android
927,iOS
927,MacOS
927,Slack
927,Windows
929,Android
929,AWS
929,IBM Cloud or Watson
929,iOS
929,MacOS
930,Linux
930,Windows
948,Linux
948,Windows
932,Docker
932,Windows
932,WordPress
934,Docker
934,Linux
934,MacOS
934,Slack
935,Microsoft Azure
935,Windows
938,Android
938,Docker
938,iOS
938,MacOS
938,Microsoft Azure
938,Raspberry Pi
938,Windows
939,Android
939,Windows
942,AWS
942,Docker
945,Heroku
945,Linux
945,MacOS
945,Windows
955,Docker
957,Slack
957,Windows
957,WordPress
958,Android
958,Microsoft Azure
959,Docker
959,Linux
959,Raspberry Pi
959,Slack
959,Windows
965,Android
965,Linux
967,MacOS
967,Slack
967,Windows
970,Android
970,Heroku
970,Windows
975,Arduino
975,AWS
975,Heroku
978,Linux
978,Windows
977,Google Cloud Platform
977,Heroku
977,MacOS
977,Microsoft Azure
977,Windows
977,WordPress
983,Android
983,Windows
993,Android
993,Arduino
993,AWS
993,Docker
993,Kubernetes
993,Linux
993,MacOS
993,Microsoft Azure
993,Slack
993,Windows
993,WordPress
1005,AWS
1005,Docker
1005,Google Cloud Platform
1005,Kubernetes
1007,AWS
1007,Docker
1007,Kubernetes
1007,Linux
1009,WordPress
1013,AWS
1013,Linux
1013,MacOS
1013,Microsoft Azure
1013,Slack
1013,Windows
1013,WordPress
1015,AWS
1015,Docker
1015,Heroku
1015,WordPress
1016,Windows
1017,Google Cloud Platform
1017,Kubernetes
1022,AWS
1022,Docker
1022,Google Cloud Platform
1022,Windows
1033,Microsoft Azure
1033,Windows
1023,Windows
1024,AWS
1024,Microsoft Azure
1034,AWS
1034,Docker
1034,Linux
1034,MacOS
1034,Raspberry Pi
1036,Linux
1037,Android
1037,AWS
1037,Docker
1037,Google Cloud Platform
1037,iOS
1037,Linux
1037,MacOS
1037,Windows
1042,AWS
1042,Docker
1043,Docker
1043,Google Cloud Platform
1043,Heroku
1043,Linux
1043,MacOS
1043,Raspberry Pi
1045,Microsoft Azure
1045,Windows
1056,Microsoft Azure
1056,Windows
1051,Android
1051,iOS
1051,Microsoft Azure
1051,Windows
1054,Android
1054,iOS
1054,Windows
1055,Android
1055,Docker
1055,iOS
1055,MacOS
1061,Windows
1063,Linux
1064,Docker
1064,Windows
1067,AWS
1067,Docker
1067,iOS
1067,Kubernetes
1067,Linux
1067,MacOS
1067,Microsoft Azure
1067,Raspberry Pi
1067,Slack
1068,AWS
1068,Linux
1068,Microsoft Azure
1068,Slack
1070,Google Cloud Platform
1070,Heroku
1070,Microsoft Azure
1070,Raspberry Pi
1070,Windows
1071,Microsoft Azure
1071,Windows
1073,AWS
1073,Docker
1073,Linux
1073,Windows
1074,AWS
1074,Google Cloud Platform
1074,Windows
1076,Arduino
1076,Linux
1076,Raspberry Pi
1076,WordPress
1077,Android
1077,Arduino
1081,AWS
1081,Docker
1081,Linux
1088,Android
1088,Docker
1088,Heroku
1088,iOS
1088,Linux
1088,MacOS
1088,Microsoft Azure
1088,Slack
1088,Windows
1088,WordPress
1096,Android
1096,AWS
1096,Docker
1096,Google Cloud Platform
1096,Heroku
1096,Linux
1096,MacOS
1096,Raspberry Pi
1097,AWS
1097,Docker
1099,Docker
1099,Linux
1099,Microsoft Azure
1099,Raspberry Pi
1099,Windows
1109,Windows
1109,WordPress
1110,Linux
1110,MacOS
1113,AWS
1113,Linux
1113,MacOS
1113,WordPress
1114,AWS
1114,Docker
1114,Heroku
1114,MacOS
1114,Slack
1120,iOS
1120,MacOS
1120,Windows
1122,AWS
1122,Docker
1122,Google Cloud Platform
1122,Linux
1123,Linux
1123,Slack
1123,Windows
1131,WordPress
1127,Windows
1128,Google Cloud Platform
1128,Other(s):
1129,Docker
1129,Heroku
1129,Linux
1129,MacOS
1129,Windows
1129,WordPress
1132,Docker
1132,Microsoft Azure
1132,Windows
1136,Android
1136,AWS
1136,Docker
1136,Google Cloud Platform
1136,Linux
1145,AWS
1146,Android
1146,Linux
1146,Windows
1148,Linux
1149,Android
1149,iOS
1149,Windows
1150,Linux
1151,Linux
1151,Windows
1152,AWS
1152,Docker
1152,Kubernetes
1152,Linux
1152,Slack
1165,Linux
1165,Windows
1153,Docker
1153,Kubernetes
1153,Linux
1153,MacOS
1153,Slack
1153,Windows
1154,Docker
1154,Google Cloud Platform
1154,Linux
1154,Windows
1158,AWS
1158,Docker
1158,Google Cloud Platform
1158,Linux
1158,Microsoft Azure
1161,AWS
1161,Heroku
1161,Linux
1161,MacOS
1161,Slack
1164,Android
1164,Arduino
1164,AWS
1164,Docker
1164,Google Cloud Platform
1164,iOS
1164,Kubernetes
1164,Linux
1164,MacOS
1164,Raspberry Pi
1164,Slack
1164,Windows
1166,AWS
1166,Docker
1166,Linux
1166,Slack
1166,Windows
1166,WordPress
1169,Linux
1182,Docker
1182,Linux
1182,Windows
1181,AWS
1181,Linux
1186,Linux
1186,MacOS
1187,AWS
1187,Docker
1187,Linux
1187,Slack
1188,Windows
1190,Docker
1190,Heroku
1190,Linux
1190,Microsoft Azure
1190,Slack
1190,Windows
1194,AWS
1194,Docker
1194,Linux
1194,MacOS
1194,Microsoft Azure
1194,Slack
1194,Windows
1197,Docker
1197,Google Cloud Platform
1197,Heroku
1205,Android
1205,Docker
1205,Heroku
1205,Linux
1205,Microsoft Azure
1205,Slack
1205,Windows
1206,Linux
1206,MacOS
1206,Slack
1206,Windows
1207,AWS
1207,Docker
1207,Linux
1211,Android
1211,AWS
1211,iOS
1211,MacOS
1211,Slack
1219,Linux
1222,Android
1222,AWS
1222,Windows
1223,Docker
1223,Slack
1223,Windows
1224,IBM Cloud or Watson
1224,Linux
1228,Android
1228,Docker
1228,Microsoft Azure
1228,Windows
1229,Android
1229,AWS
1229,Kubernetes
1229,Linux
1229,Slack
1230,Linux
1234,Windows
1234,WordPress
1235,Android
1235,Slack
1238,Windows
1241,Android
1241,Docker
1241,iOS
1241,Windows
1244,AWS
1244,iOS
1244,Linux
1244,MacOS
1244,WordPress
1255,Heroku
1255,MacOS
1255,WordPress
1257,Windows
1274,Arduino
1274,AWS
1274,Docker
1274,Google Cloud Platform
1274,Linux
1274,Microsoft Azure
1274,Raspberry Pi
1274,Windows
1276,Docker
1276,Linux
1276,Slack
1276,Windows
1281,AWS
1281,Docker
1281,Google Cloud Platform
1281,iOS
1281,Kubernetes
1281,Linux
1281,MacOS
1281,Microsoft Azure
1281,Raspberry Pi
1281,Slack
1281,Windows
1281,WordPress
1285,Android
1285,Linux
1285,MacOS
1285,Windows
1285,WordPress
1286,AWS
1286,Docker
1286,Google Cloud Platform
1286,Linux
1286,MacOS
1286,Microsoft Azure
1286,Slack
1286,Windows
1287,AWS
1287,Linux
1287,MacOS
1287,Slack
1288,AWS
1288,Docker
1288,Kubernetes
1288,Linux
1288,MacOS
1288,Slack
1288,Windows
1289,Google Cloud Platform
1289,iOS
1289,Microsoft Azure
1294,Heroku
1294,MacOS
1294,Slack
1295,Windows
1301,AWS
1301,Docker
1302,AWS
1302,Docker
1307,AWS
1307,Docker
1307,Kubernetes
1307,Linux
1307,WordPress
1310,Arduino
1310,AWS
1310,Docker
1310,Heroku
1310,Linux
1312,Windows
1314,AWS
1314,Docker
1314,Heroku
1314,Linux
1314,MacOS
1314,Slack
1315,Docker
1315,Google Cloud Platform
1318,Android
1318,Arduino
1318,iOS
1321,Microsoft Azure
1321,Windows
1324,AWS
1324,Docker
1324,Google Cloud Platform
1324,Heroku
1324,iOS
1324,Kubernetes
1324,Linux
1324,MacOS
1324,Slack
1324,Windows
1325,Windows
1326,Docker
1326,Linux
1326,Microsoft Azure
1326,Raspberry Pi
1326,Windows
1328,Linux
1329,Docker
1329,Kubernetes
1329,Linux
1329,Windows
1331,AWS
1331,Docker
1331,IBM Cloud or Watson
1331,Kubernetes
1331,Linux
1336,Windows
1343,Linux
1337,Android
1337,Arduino
1337,Linux
1337,MacOS
1337,Microsoft Azure
1337,Windows
1341,Linux
1347,Linux
1347,Windows
1347,Other(s):
1348,Microsoft Azure
1348,Windows
1351,Arduino
1351,AWS
1351,Heroku
1351,Linux
1351,Raspberry Pi
1351,Windows
1355,Android
1355,Linux
1355,Windows
1358,Docker
1358,Linux
1358,Microsoft Azure
1361,AWS
1361,Windows
1363,AWS
1363,Docker
1363,Linux
1369,Android
1364,AWS
1364,Docker
1364,IBM Cloud or Watson
1364,Linux
1364,MacOS
1364,Slack
1364,Windows
1371,iOS
1371,MacOS
1372,Linux
1376,Android
1376,AWS
1376,Windows
1378,Android
1378,Arduino
1378,AWS
1378,Docker
1378,Raspberry Pi
1379,Windows
1381,MacOS
1381,Slack
1381,Windows
1382,AWS
1382,Google Cloud Platform
1382,Linux
1382,Slack
1382,Windows
1382,WordPress
1391,Android
1391,Heroku
1393,Docker
1393,Kubernetes
1393,Linux
1393,Slack
1395,Android
1395,Linux
1395,MacOS
1395,Windows
1397,Linux
1397,Windows
1404,Android
1404,Arduino
1404,iOS
1404,MacOS
1404,Windows
1405,Docker
1405,Linux
1405,Microsoft Azure
1405,Slack
1405,Windows
1409,AWS
1409,Linux
1409,MacOS
1409,Windows
1419,Windows
1421,Windows
1423,Android
1423,AWS
1423,Docker
1423,iOS
1423,Kubernetes
1423,Linux
1423,MacOS
1423,Raspberry Pi
1423,Slack
1425,Linux
1459,Android
1459,iOS
1459,MacOS
1459,Windows
1437,Windows
1441,Docker
1441,Linux
1441,MacOS
1441,Microsoft Azure
1441,Windows
1443,Docker
1445,Android
1445,Windows
1451,AWS
1451,Docker
1451,MacOS
1451,Microsoft Azure
1451,Slack
1451,Windows
1452,AWS
1452,Docker
1452,Linux
1452,MacOS
1452,Windows
1453,AWS
1453,Docker
1453,Linux
1453,Slack
1453,Windows
1454,Android
1454,AWS
1454,Docker
1454,iOS
1454,Linux
1454,Microsoft Azure
1454,Raspberry Pi
1454,Slack
1454,Windows
1454,WordPress
1469,Google Cloud Platform
1469,Linux
1469,Windows
1473,Docker
1473,Linux
1473,Slack
1482,AWS
1482,Linux
1477,Linux
1480,Docker
1480,Linux
1480,MacOS
1480,Raspberry Pi
1480,Slack
1480,Windows
1481,Slack
1481,Windows
1481,WordPress
1481,Other(s):
1485,AWS
1485,Linux
1485,MacOS
1490,Heroku
1490,Windows
1491,Windows
1493,AWS
1501,Android
1501,Google Cloud Platform
1501,Linux
1501,Slack
1501,Windows
1511,MacOS
1511,Windows
1520,Docker
1520,Linux
1515,Docker
1515,Linux
1517,AWS
1517,Docker
1517,Linux
1517,MacOS
1521,Android
1521,iOS
1521,Windows
1522,AWS
1522,Docker
1524,Android
1524,Docker
1524,iOS
1524,Linux
1524,MacOS
1524,Slack
1529,Arduino
1529,Docker
1529,Heroku
1529,Kubernetes
1529,Raspberry Pi
1530,Android
1530,Docker
1530,iOS
1530,Linux
1530,MacOS
1530,Windows
1532,AWS
1532,Docker
1532,Heroku
1532,Kubernetes
1532,Linux
1532,Raspberry Pi
1538,Windows
1533,AWS
1533,Docker
1533,WordPress
1534,Microsoft Azure
1534,Windows
1535,AWS
1535,Docker
1535,Heroku
1535,Kubernetes
1535,Linux
1535,MacOS
1535,Slack
1536,Android
1536,AWS
1536,Linux
1536,MacOS
1536,Windows
1536,WordPress
1541,Android
1541,AWS
1541,Docker
1541,iOS
1541,Linux
1541,MacOS
1541,Microsoft Azure
1541,Raspberry Pi
1543,Google Cloud Platform
1543,Linux
1543,Windows
1543,WordPress
1557,Android
1557,Docker
1557,iOS
1557,MacOS
1557,Microsoft Azure
1557,Windows
1579,Kubernetes
1579,Raspberry Pi
1559,Android
1559,AWS
1559,Google Cloud Platform
1559,Linux
1559,Slack
1559,WordPress
1563,AWS
1563,Google Cloud Platform
1563,WordPress
1572,Windows
1573,AWS
1573,Windows
1580,AWS
1580,Linux
1584,AWS
1588,AWS
1588,Docker
1588,Linux
1588,WordPress
1589,AWS
1589,Docker
1589,Linux
1593,Slack
1599,Android
1599,iOS
1599,MacOS
1599,Windows
1602,Android
1602,Arduino
1602,Docker
1602,Google Cloud Platform
1602,iOS
1602,Linux
1602,MacOS
1602,Raspberry Pi
1602,Slack
1602,Windows
1605,Linux
1608,Docker
1608,Google Cloud Platform
1608,Kubernetes
1612,Linux
1612,Windows
1616,Android
1616,AWS
1616,Linux
1616,Raspberry Pi
1654,AWS
1654,Heroku
1654,Linux
1654,Microsoft Azure
1654,Slack
1617,AWS
1617,Docker
1617,MacOS
1619,Arduino
1619,Microsoft Azure
1619,Raspberry Pi
1619,Windows
1620,Arduino
1620,AWS
1620,IBM Cloud or Watson
1620,Linux
1620,WordPress
1628,Android
1628,AWS
1628,Docker
1628,Linux
1628,Microsoft Azure
1628,Raspberry Pi
1628,Slack
1628,Windows
1629,Linux
1629,Windows
1629,WordPress
1641,Docker
1641,Kubernetes
1641,Linux
1641,MacOS
1641,Raspberry Pi
1642,Linux
1642,Slack
1642,Windows
1643,Android
1643,Linux
1643,MacOS
1643,Slack
1643,Windows
1643,WordPress
1648,AWS
1648,Docker
1648,Google Cloud Platform
1648,Kubernetes
1648,Raspberry Pi
1648,Slack
1650,Docker
1650,Google Cloud Platform
1650,Linux
1650,WordPress
1651,AWS
1651,Docker
1651,Google Cloud Platform
1651,Kubernetes
1651,Linux
1651,MacOS
1651,Slack
1652,Android
1652,Heroku
1652,iOS
1652,Linux
