Respondent,DevType
293,"Developer, back-end"
293,"Developer, full-stack"
293,"Developer, mobile"
302,"Developer, back-end"
302,"Developer, desktop or enterprise applications"
302,"Developer, game or graphics"
304,"Developer, back-end"
304,"Developer, full-stack"
304,DevOps specialist
304,"Engineer, site reliability"
306,"Developer, full-stack"
306,DevOps specialist
308,"Developer, front-end"
312,"Engineer, data"
310,Data or business analyst
310,Data scientist or machine learning specialist
310,Designer
310,"Developer, back-end"
310,"Developer, desktop or enterprise applications"
310,"Developer, front-end"
310,"Developer, full-stack"
310,"Developer, mobile"
310,"Developer, QA or test"
310,DevOps specialist
310,Educator
310,"Engineer, data"
310,Product manager
311,Academic researcher
311,Database administrator
311,"Developer, back-end"
311,"Developer, desktop or enterprise applications"
316,"Developer, desktop or enterprise applications"
316,"Developer, full-stack"
316,DevOps specialist
317,"Developer, back-end"
321,"Developer, full-stack"
322,"Developer, mobile"
324,"Developer, back-end"
324,"Developer, embedded applications or devices"
324,"Developer, front-end"
324,"Developer, full-stack"
326,"Developer, full-stack"
328,"Developer, back-end"
328,"Developer, front-end"
328,"Developer, full-stack"
330,"Developer, back-end"
330,"Developer, desktop or enterprise applications"
330,"Developer, front-end"
330,"Developer, full-stack"
330,"Developer, mobile"
330,DevOps specialist
332,"Developer, front-end"
332,"Developer, mobile"
333,"Developer, back-end"
333,"Engineer, data"
335,"Developer, full-stack"
338,"Developer, QA or test"
340,"Developer, back-end"
340,"Developer, desktop or enterprise applications"
410,"Developer, desktop or enterprise applications"
341,"Developer, back-end"
341,"Developer, desktop or enterprise applications"
341,"Developer, embedded applications or devices"
345,"Developer, full-stack"
352,"Developer, full-stack"
354,"Developer, back-end"
354,"Developer, desktop or enterprise applications"
354,"Developer, embedded applications or devices"
354,"Developer, front-end"
354,"Developer, full-stack"
356,"Developer, back-end"
356,"Developer, front-end"
356,"Developer, full-stack"
356,"Developer, mobile"
357,"Developer, front-end"
357,"Developer, full-stack"
364,"Developer, back-end"
364,"Developer, front-end"
364,"Developer, full-stack"
373,"Developer, full-stack"
373,"Developer, mobile"
374,Data scientist or machine learning specialist
374,"Developer, back-end"
375,"Developer, full-stack"
375,Educator
382,"Developer, full-stack"
383,DevOps specialist
383,System administrator
384,Database administrator
384,"Developer, back-end"
384,DevOps specialist
384,System administrator
388,"Developer, full-stack"
389,"Developer, full-stack"
389,"Developer, mobile"
392,"Developer, back-end"
392,"Developer, desktop or enterprise applications"
392,"Developer, front-end"
392,"Developer, full-stack"
392,"Developer, mobile"
395,Designer
395,"Developer, back-end"
395,"Developer, front-end"
395,"Developer, full-stack"
395,"Developer, mobile"
395,"Developer, QA or test"
398,System administrator
401,"Developer, back-end"
402,"Developer, back-end"
402,"Developer, desktop or enterprise applications"
404,"Developer, desktop or enterprise applications"
404,"Developer, full-stack"
404,"Developer, mobile"
406,"Developer, back-end"
406,"Developer, front-end"
406,"Developer, full-stack"
406,"Developer, mobile"
408,"Developer, desktop or enterprise applications"
408,"Developer, full-stack"
408,"Developer, mobile"
414,Designer
414,"Developer, back-end"
414,"Developer, front-end"
414,"Developer, full-stack"
414,"Developer, QA or test"
414,DevOps specialist
414,System administrator
416,Database administrator
416,"Developer, back-end"
416,"Developer, front-end"
416,"Developer, full-stack"
421,"Developer, front-end"
421,"Developer, full-stack"
424,"Developer, back-end"
424,"Developer, desktop or enterprise applications"
424,"Developer, embedded applications or devices"
424,"Developer, full-stack"
427,"Developer, full-stack"
428,"Developer, back-end"
429,"Developer, QA or test"
432,"Developer, full-stack"
434,"Developer, full-stack"
435,"Developer, back-end"
435,"Developer, front-end"
435,"Developer, full-stack"
435,DevOps specialist
435,"Engineer, site reliability"
436,Database administrator
436,"Developer, back-end"
436,"Developer, front-end"
436,"Developer, full-stack"
436,"Developer, mobile"
447,"Developer, back-end"
453,"Developer, back-end"
460,Academic researcher
460,"Developer, back-end"
460,"Developer, front-end"
460,"Developer, full-stack"
460,DevOps specialist
460,Student
462,"Developer, back-end"
462,"Developer, desktop or enterprise applications"
463,"Developer, back-end"
463,"Developer, front-end"
463,"Developer, full-stack"
463,"Developer, mobile"
466,Data or business analyst
466,"Developer, desktop or enterprise applications"
466,"Developer, front-end"
466,"Developer, full-stack"
466,Educator
467,"Developer, back-end"
467,Student
469,"Developer, back-end"
469,"Developer, front-end"
469,"Developer, full-stack"
469,System administrator
471,"Developer, back-end"
475,"Developer, desktop or enterprise applications"
475,"Developer, front-end"
475,"Developer, mobile"
476,"Developer, back-end"
476,"Developer, full-stack"
498,"Developer, front-end"
486,"Developer, back-end"
486,"Developer, front-end"
486,"Developer, full-stack"
486,"Developer, mobile"
486,DevOps specialist
486,Engineering manager
489,"Developer, desktop or enterprise applications"
497,"Developer, desktop or enterprise applications"
497,"Developer, front-end"
497,"Developer, full-stack"
497,"Developer, mobile"
497,Educator
497,Product manager
499,Data or business analyst
503,"Developer, back-end"
510,"Developer, full-stack"
510,"Engineer, site reliability"
510,Scientist
510,Student
520,Designer
520,"Developer, back-end"
520,"Developer, desktop or enterprise applications"
520,"Developer, front-end"
520,"Developer, full-stack"
525,Data or business analyst
525,Database administrator
525,"Developer, back-end"
525,"Developer, mobile"
526,"Developer, back-end"
526,"Developer, full-stack"
526,"Developer, mobile"
528,"Developer, back-end"
533,"Developer, full-stack"
539,Data scientist or machine learning specialist
539,Database administrator
539,"Developer, back-end"
539,"Developer, desktop or enterprise applications"
539,"Developer, front-end"
539,"Developer, full-stack"
540,"Developer, back-end"
542,Data scientist or machine learning specialist
542,"Developer, back-end"
542,"Engineer, data"
545,"Developer, full-stack"
545,"Developer, game or graphics"
545,Engineering manager
545,Product manager
545,Senior executive/VP
553,"Developer, full-stack"
550,"Developer, back-end"
550,"Developer, desktop or enterprise applications"
550,"Developer, front-end"
550,"Developer, full-stack"
554,"Developer, full-stack"
554,"Developer, QA or test"
554,DevOps specialist
554,Educator
558,"Developer, full-stack"
563,Data scientist or machine learning specialist
563,"Developer, full-stack"
563,Scientist
564,Academic researcher
564,Data scientist or machine learning specialist
564,"Engineer, data"
564,Scientist
565,"Developer, full-stack"
566,Designer
566,"Developer, embedded applications or devices"
566,"Developer, front-end"
566,"Developer, game or graphics"
566,"Developer, mobile"
571,Academic researcher
571,Data scientist or machine learning specialist
571,"Developer, back-end"
571,"Developer, desktop or enterprise applications"
571,"Developer, embedded applications or devices"
571,Scientist
574,"Developer, full-stack"
575,Data or business analyst
575,"Developer, back-end"
578,Database administrator
578,Designer
578,"Developer, back-end"
578,"Developer, front-end"
578,"Developer, full-stack"
578,"Developer, mobile"
578,"Developer, QA or test"
578,System administrator
581,"Developer, back-end"
581,"Developer, front-end"
581,"Developer, full-stack"
581,System administrator
583,"Developer, full-stack"
583,Educator
587,"Developer, full-stack"
589,Data or business analyst
589,"Developer, back-end"
589,Marketing or sales professional
589,Student
590,"Developer, back-end"
590,"Developer, full-stack"
594,"Developer, front-end"
594,"Developer, mobile"
602,Data or business analyst
602,Designer
602,"Developer, front-end"
602,"Developer, mobile"
602,DevOps specialist
602,Product manager
603,"Developer, back-end"
643,Database administrator
643,"Developer, back-end"
643,"Developer, front-end"
643,"Developer, full-stack"
643,System administrator
604,"Developer, back-end"
604,"Developer, front-end"
604,"Developer, full-stack"
607,"Developer, back-end"
608,Academic researcher
613,"Developer, desktop or enterprise applications"
613,"Developer, front-end"
613,"Developer, full-stack"
613,"Developer, mobile"
613,"Developer, QA or test"
613,Product manager
613,System administrator
614,"Developer, back-end"
614,"Developer, desktop or enterprise applications"
614,"Developer, embedded applications or devices"
614,"Developer, front-end"
614,"Developer, full-stack"
614,"Developer, mobile"
614,DevOps specialist
614,"Engineer, site reliability"
615,Database administrator
615,"Developer, back-end"
615,"Developer, full-stack"
617,Academic researcher
617,"Developer, front-end"
617,"Developer, full-stack"
626,"Developer, back-end"
626,"Developer, desktop or enterprise applications"
626,"Developer, embedded applications or devices"
626,"Developer, front-end"
626,"Developer, full-stack"
626,"Developer, game or graphics"
626,"Developer, mobile"
628,"Developer, full-stack"
654,"Developer, back-end"
654,"Developer, desktop or enterprise applications"
654,"Developer, front-end"
654,"Developer, full-stack"
654,"Engineer, data"
657,Data scientist or machine learning specialist
657,Database administrator
657,"Developer, full-stack"
657,Senior executive/VP
658,"Developer, front-end"
658,"Developer, full-stack"
658,"Developer, mobile"
659,Data scientist or machine learning specialist
659,Student
660,"Developer, back-end"
660,"Developer, desktop or enterprise applications"
660,"Developer, front-end"
662,"Developer, desktop or enterprise applications"
662,DevOps specialist
665,Database administrator
665,"Developer, back-end"
665,Product manager
665,System administrator
664,Data or business analyst
664,"Developer, back-end"
664,"Developer, front-end"
664,"Developer, full-stack"
664,DevOps specialist
664,System administrator
666,Data or business analyst
666,"Developer, front-end"
668,"Developer, full-stack"
668,System administrator
669,Data or business analyst
671,Database administrator
671,"Developer, full-stack"
675,"Developer, back-end"
675,"Developer, desktop or enterprise applications"
675,"Developer, full-stack"
677,"Developer, back-end"
679,Marketing or sales professional
680,"Developer, full-stack"
681,Data scientist or machine learning specialist
681,Database administrator
681,Designer
681,"Developer, back-end"
681,"Developer, desktop or enterprise applications"
681,"Developer, embedded applications or devices"
681,"Developer, front-end"
681,"Developer, full-stack"
681,"Developer, game or graphics"
681,"Engineer, data"
683,Database administrator
683,"Developer, back-end"
683,"Developer, front-end"
683,"Developer, full-stack"
683,"Engineer, data"
683,System administrator
685,"Developer, back-end"
685,"Developer, desktop or enterprise applications"
685,"Developer, full-stack"
685,"Developer, game or graphics"
685,"Developer, mobile"
686,"Developer, back-end"
686,"Developer, desktop or enterprise applications"
686,"Developer, mobile"
689,Designer
689,"Developer, full-stack"
701,"Engineer, site reliability"
693,"Developer, full-stack"
693,"Developer, QA or test"
693,"Engineer, data"
694,Database administrator
694,Designer
694,"Developer, back-end"
694,"Developer, desktop or enterprise applications"
694,"Developer, front-end"
694,"Developer, full-stack"
694,DevOps specialist
694,System administrator
695,"Developer, back-end"
695,"Developer, desktop or enterprise applications"
695,"Developer, front-end"
695,"Developer, full-stack"
696,"Developer, back-end"
696,"Developer, desktop or enterprise applications"
699,"Developer, desktop or enterprise applications"
699,"Developer, embedded applications or devices"
699,"Developer, full-stack"
699,"Developer, mobile"
703,"Developer, back-end"
703,"Developer, desktop or enterprise applications"
703,"Developer, full-stack"
703,DevOps specialist
703,"Engineer, site reliability"
703,Engineering manager
703,System administrator
705,"Developer, back-end"
705,"Developer, full-stack"
715,"Developer, full-stack"
707,"Developer, back-end"
707,"Developer, full-stack"
707,"Developer, mobile"
708,Academic researcher
708,"Developer, back-end"
708,"Developer, front-end"
708,Student
714,"Developer, back-end"
714,"Developer, full-stack"
718,"Developer, back-end"
718,"Developer, desktop or enterprise applications"
718,"Developer, front-end"
718,"Developer, full-stack"
718,"Developer, game or graphics"
718,System administrator
721,"Developer, back-end"
725,Data or business analyst
725,Database administrator
725,"Developer, back-end"
725,"Developer, desktop or enterprise applications"
725,"Developer, full-stack"
725,Educator
725,System administrator
729,"Developer, full-stack"
731,Designer
731,"Developer, back-end"
731,"Developer, desktop or enterprise applications"
731,"Developer, front-end"
731,"Developer, full-stack"
731,"Developer, QA or test"
732,"Developer, full-stack"
740,"Developer, back-end"
740,DevOps specialist
740,Student
740,System administrator
741,"Developer, full-stack"
743,"Developer, back-end"
742,Database administrator
742,"Developer, back-end"
742,"Developer, front-end"
742,"Developer, full-stack"
742,"Developer, QA or test"
742,DevOps specialist
742,Student
742,System administrator
744,"Developer, full-stack"
744,"Developer, mobile"
746,"Developer, back-end"
746,"Developer, front-end"
746,"Developer, full-stack"
746,"Developer, game or graphics"
746,"Developer, mobile"
749,"Developer, back-end"
749,"Developer, desktop or enterprise applications"
749,"Developer, front-end"
749,"Developer, full-stack"
751,"Developer, full-stack"
752,"Developer, back-end"
752,"Developer, desktop or enterprise applications"
752,"Developer, full-stack"
753,"Developer, back-end"
753,"Developer, desktop or enterprise applications"
753,"Developer, front-end"
753,"Developer, full-stack"
756,"Developer, back-end"
758,"Developer, back-end"
760,"Developer, full-stack"
762,"Developer, full-stack"
764,"Developer, full-stack"
768,"Developer, full-stack"
768,DevOps specialist
768,Product manager
768,System administrator
769,"Developer, full-stack"
770,"Developer, full-stack"
771,Data scientist or machine learning specialist
771,"Developer, back-end"
771,DevOps specialist
771,"Engineer, data"
773,"Developer, embedded applications or devices"
773,"Developer, full-stack"
773,Student
776,Data or business analyst
776,Data scientist or machine learning specialist
777,"Developer, back-end"
779,Database administrator
779,"Developer, back-end"
779,DevOps specialist
780,Engineering manager
785,Database administrator
785,"Developer, back-end"
785,System administrator
786,"Developer, back-end"
787,"Developer, full-stack"
789,"Developer, back-end"
789,"Engineer, site reliability"
791,"Developer, full-stack"
799,Designer
799,"Developer, desktop or enterprise applications"
799,"Developer, embedded applications or devices"
816,Designer
816,"Developer, full-stack"
816,"Developer, game or graphics"
816,"Developer, mobile"
828,"Developer, back-end"
828,"Engineer, data"
829,"Developer, back-end"
831,"Developer, back-end"
831,"Developer, embedded applications or devices"
831,"Developer, game or graphics"
831,"Developer, mobile"
831,Student
832,Designer
832,"Developer, back-end"
832,"Developer, mobile"
832,Student
837,Designer
837,"Developer, back-end"
837,Student
843,"Developer, full-stack"
844,"Developer, back-end"
844,"Developer, front-end"
844,"Developer, full-stack"
845,Data or business analyst
845,Database administrator
845,Designer
845,"Developer, back-end"
845,"Developer, desktop or enterprise applications"
845,"Developer, front-end"
845,"Developer, full-stack"
845,DevOps specialist
846,Data scientist or machine learning specialist
846,"Developer, back-end"
846,DevOps specialist
846,"Engineer, data"
846,Scientist
848,"Developer, full-stack"
848,Educator
850,"Developer, back-end"
850,"Developer, front-end"
850,"Developer, full-stack"
850,DevOps specialist
853,"Developer, front-end"
857,"Developer, back-end"
857,"Developer, desktop or enterprise applications"
857,System administrator
860,"Developer, back-end"
860,"Developer, desktop or enterprise applications"
860,DevOps specialist
861,Database administrator
861,"Developer, back-end"
861,"Developer, desktop or enterprise applications"
861,"Developer, full-stack"
861,DevOps specialist
869,"Developer, mobile"
864,"Developer, full-stack"
870,"Developer, back-end"
872,"Developer, full-stack"
873,"Developer, desktop or enterprise applications"
907,Data scientist or machine learning specialist
874,Data scientist or machine learning specialist
874,"Developer, back-end"
880,"Developer, full-stack"
882,"Developer, full-stack"
884,"Developer, back-end"
890,"Developer, desktop or enterprise applications"
896,"Developer, full-stack"
896,"Developer, mobile"
898,"Developer, full-stack"
900,Academic researcher
900,Data or business analyst
900,Data scientist or machine learning specialist
900,Database administrator
900,"Developer, back-end"
900,"Developer, desktop or enterprise applications"
900,"Developer, front-end"
900,"Developer, full-stack"
900,"Developer, mobile"
900,"Developer, QA or test"
900,Educator
900,Scientist
900,Student
900,System administrator
901,"Developer, back-end"
901,"Developer, desktop or enterprise applications"
901,"Developer, front-end"
901,"Developer, full-stack"
909,"Developer, back-end"
909,"Developer, front-end"
909,"Developer, full-stack"
910,"Developer, back-end"
910,"Developer, desktop or enterprise applications"
910,"Developer, embedded applications or devices"
910,"Developer, front-end"
910,"Developer, full-stack"
910,"Developer, mobile"
910,"Developer, QA or test"
915,"Developer, back-end"
915,"Developer, full-stack"
915,"Engineer, site reliability"
916,"Developer, back-end"
916,"Developer, full-stack"
917,"Developer, back-end"
917,"Developer, desktop or enterprise applications"
917,"Developer, mobile"
918,"Developer, back-end"
918,"Developer, desktop or enterprise applications"
918,"Developer, embedded applications or devices"
918,"Developer, front-end"
918,"Developer, full-stack"
920,"Developer, full-stack"
920,"Developer, game or graphics"
920,"Developer, mobile"
923,"Developer, QA or test"
926,"Developer, back-end"
927,"Developer, back-end"
927,"Developer, desktop or enterprise applications"
927,"Developer, mobile"
927,"Developer, QA or test"
929,"Developer, embedded applications or devices"
929,"Developer, front-end"
929,"Developer, mobile"
930,"Developer, back-end"
930,"Developer, full-stack"
948,Database administrator
948,"Developer, back-end"
948,"Developer, desktop or enterprise applications"
948,"Developer, front-end"
948,"Developer, full-stack"
948,"Developer, QA or test"
932,DevOps specialist
932,System administrator
934,"Developer, back-end"
934,"Developer, front-end"
934,"Developer, full-stack"
934,"Developer, mobile"
934,Engineering manager
935,"Developer, full-stack"
938,"Developer, back-end"
938,"Developer, desktop or enterprise applications"
938,"Developer, embedded applications or devices"
938,"Developer, full-stack"
938,"Developer, mobile"
938,DevOps specialist
939,"Developer, full-stack"
942,"Developer, back-end"
945,Data or business analyst
945,Data scientist or machine learning specialist
945,"Developer, full-stack"
955,"Developer, QA or test"
957,"Developer, full-stack"
958,"Developer, back-end"
958,"Developer, desktop or enterprise applications"
958,"Developer, front-end"
958,"Developer, full-stack"
958,DevOps specialist
958,Engineering manager
959,"Developer, full-stack"
965,"Developer, back-end"
965,"Developer, front-end"
965,"Developer, full-stack"
967,Academic researcher
967,"Developer, back-end"
967,"Developer, desktop or enterprise applications"
967,"Developer, embedded applications or devices"
967,"Developer, front-end"
967,"Developer, full-stack"
967,"Developer, mobile"
970,"Developer, full-stack"
975,"Developer, back-end"
978,"Developer, full-stack"
977,"Developer, front-end"
977,"Developer, full-stack"
977,"Developer, mobile"
983,"Developer, full-stack"
993,Data or business analyst
993,Data scientist or machine learning specialist
993,Database administrator
993,"Developer, back-end"
993,"Developer, desktop or enterprise applications"
993,"Developer, embedded applications or devices"
993,"Developer, front-end"
993,"Developer, full-stack"
993,"Developer, mobile"
993,"Developer, QA or test"
993,DevOps specialist
993,"Engineer, data"
993,"Engineer, site reliability"
993,Engineering manager
993,System administrator
1005,"Developer, back-end"
1005,DevOps specialist
1007,Academic researcher
1007,"Developer, back-end"
1007,DevOps specialist
1007,System administrator
1009,"Developer, front-end"
1013,"Developer, back-end"
1013,"Developer, desktop or enterprise applications"
1013,"Developer, embedded applications or devices"
1013,"Developer, front-end"
1013,"Developer, full-stack"
1013,Scientist
1015,"Developer, full-stack"
1016,"Developer, back-end"
1017,"Developer, back-end"
1017,"Developer, full-stack"
1017,"Engineer, site reliability"
1022,Data or business analyst
1022,"Developer, full-stack"
1022,"Engineer, data"
1033,"Developer, full-stack"
1023,"Developer, back-end"
1023,"Developer, desktop or enterprise applications"
1023,"Developer, front-end"
1023,"Developer, full-stack"
1023,DevOps specialist
1024,"Developer, back-end"
1024,"Developer, front-end"
1024,"Developer, full-stack"
1034,"Developer, back-end"
1034,"Engineer, data"
1036,"Developer, back-end"
1037,Database administrator
1037,Designer
1037,"Developer, back-end"
1037,"Developer, desktop or enterprise applications"
1037,"Developer, front-end"
1037,"Developer, full-stack"
1037,"Developer, mobile"
1037,"Developer, QA or test"
1037,DevOps specialist
1037,Educator
1037,"Engineer, data"
1037,"Engineer, site reliability"
1037,System administrator
1042,"Developer, front-end"
1042,"Developer, full-stack"
1043,"Developer, full-stack"
1045,"Developer, back-end"
1056,"Developer, back-end"
1056,"Developer, full-stack"
1051,"Developer, back-end"
1051,"Developer, desktop or enterprise applications"
1051,"Developer, front-end"
1051,"Developer, full-stack"
1051,"Developer, mobile"
1051,DevOps specialist
1054,Database administrator
1054,"Developer, back-end"
1054,"Developer, desktop or enterprise applications"
1054,"Developer, embedded applications or devices"
1054,"Developer, front-end"
1054,"Developer, full-stack"
1054,"Developer, game or graphics"
1054,"Developer, mobile"
1054,System administrator
1055,"Developer, mobile"
1061,"Developer, back-end"
1061,"Developer, front-end"
1061,"Developer, full-stack"
1063,"Developer, back-end"
1063,"Developer, embedded applications or devices"
1063,"Engineer, data"
1063,System administrator
1064,"Developer, full-stack"
1067,Database administrator
1067,DevOps specialist
1067,"Engineer, site reliability"
1067,System administrator
1068,Designer
1068,"Developer, back-end"
1068,"Developer, embedded applications or devices"
1068,"Developer, front-end"
1068,"Developer, full-stack"
1070,"Developer, full-stack"
1071,"Developer, back-end"
1071,"Developer, desktop or enterprise applications"
1071,"Developer, full-stack"
1073,"Developer, full-stack"
1073,DevOps specialist
1073,System administrator
1074,Data or business analyst
1074,Database administrator
1074,"Developer, back-end"
1074,"Developer, desktop or enterprise applications"
1074,"Developer, front-end"
1074,"Developer, full-stack"
1074,Educator
1074,Marketing or sales professional
1074,System administrator
1076,Database administrator
1076,"Developer, full-stack"
1076,System administrator
1077,"Developer, back-end"
1077,"Developer, front-end"
1077,"Developer, mobile"
1081,"Developer, back-end"
1081,DevOps specialist
1081,"Engineer, site reliability"
1088,Database administrator
1088,"Developer, back-end"
1088,"Developer, desktop or enterprise applications"
1088,"Developer, embedded applications or devices"
1088,"Developer, front-end"
1088,"Developer, full-stack"
1088,"Developer, mobile"
1088,"Engineer, site reliability"
1096,"Developer, back-end"
1097,"Developer, back-end"
1097,"Developer, full-stack"
1099,Academic researcher
1099,Data scientist or machine learning specialist
1099,"Developer, back-end"
1099,Educator
1099,"Engineer, data"
1099,Scientist
1109,Data or business analyst
1109,Database administrator
1109,"Developer, back-end"
1109,"Developer, front-end"
1109,"Developer, QA or test"
1109,DevOps specialist
1109,System administrator
1110,Database administrator
1110,"Developer, back-end"
1110,"Developer, front-end"
1110,"Developer, full-stack"
1113,Database administrator
1113,"Developer, back-end"
1113,"Developer, desktop or enterprise applications"
1113,"Developer, front-end"
1113,"Developer, full-stack"
1113,"Developer, mobile"
1113,"Developer, QA or test"
1113,DevOps specialist
1114,"Developer, back-end"
1114,"Developer, full-stack"
1120,"Developer, mobile"
1122,"Developer, back-end"
1123,"Developer, full-stack"
1131,"Developer, front-end"
1127,Data scientist or machine learning specialist
1127,"Developer, back-end"
1128,"Developer, front-end"
1128,"Developer, full-stack"
1129,"Developer, back-end"
1129,"Developer, front-end"
1129,"Developer, full-stack"
1132,"Developer, back-end"
1132,"Developer, full-stack"
1136,"Developer, back-end"
1136,"Developer, full-stack"
1145,"Developer, full-stack"
1146,Data scientist or machine learning specialist
1146,Designer
1146,"Developer, back-end"
1146,"Developer, full-stack"
1146,"Developer, mobile"
1148,Academic researcher
1148,Data or business analyst
1148,Data scientist or machine learning specialist
1148,Educator
1148,Scientist
1148,Student
1149,"Developer, desktop or enterprise applications"
1149,"Developer, front-end"
1149,"Developer, mobile"
1150,"Developer, back-end"
1151,Engineering manager
1152,"Developer, back-end"
1165,"Developer, desktop or enterprise applications"
1153,"Developer, back-end"
1153,"Engineer, site reliability"
1154,"Developer, back-end"
1154,"Developer, full-stack"
1158,"Developer, full-stack"
1158,"Engineer, data"
1161,"Developer, full-stack"
1164,"Developer, full-stack"
1166,"Developer, full-stack"
1169,Data or business analyst
1182,"Developer, full-stack"
1181,"Developer, back-end"
1186,"Developer, back-end"
1186,"Developer, front-end"
1186,"Developer, full-stack"
1187,"Developer, back-end"
1187,"Developer, full-stack"
1188,"Developer, front-end"
1190,Academic researcher
1190,"Developer, front-end"
1190,"Developer, game or graphics"
1190,Scientist
1190,Student
1194,DevOps specialist
1197,"Developer, back-end"
1197,"Developer, front-end"
1197,"Developer, full-stack"
1205,Academic researcher
1205,"Developer, back-end"
1205,"Developer, full-stack"
1205,"Developer, mobile"
1205,"Developer, QA or test"
1206,"Developer, back-end"
1206,"Developer, front-end"
1206,"Developer, full-stack"
1206,"Developer, mobile"
1206,"Developer, QA or test"
1207,"Developer, back-end"
1207,"Developer, full-stack"
1207,DevOps specialist
1207,"Engineer, site reliability"
1211,Designer
1211,"Developer, back-end"
1211,"Developer, desktop or enterprise applications"
1211,"Developer, embedded applications or devices"
1211,"Developer, front-end"
1211,"Developer, mobile"
1219,"Developer, back-end"
1219,"Developer, desktop or enterprise applications"
1222,"Developer, full-stack"
1222,"Developer, mobile"
1223,"Developer, front-end"
1223,"Developer, full-stack"
1224,"Developer, back-end"
1228,Database administrator
1228,"Developer, back-end"
1228,"Developer, front-end"
1228,"Developer, full-stack"
1228,"Developer, QA or test"
1228,Engineering manager
