Respondent,Country,Employment,Student,EdLevel,UndergradMajor,DevType,YearsCode,YearsCodePro,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,DevEnviron,OpSys,ConvertedComp,WorkWeekHrs,WorkRemote,CareerSat,JobSat,Age,Gender,GenderMain
151,Romania,Employed full-time,"Yes, part-time","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, mobile;DevOps specialist",16,13,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;MongoDB;Microsoft SQL Server;MySQL,Android;AWS;Docker;Linux;Microsoft Azure;Windows,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,54996,160,"Less than half the time, but at least one day each week",Slightly satisfied,Slightly satisfied,34,Man,Man
157,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",8,4,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;MySQL,AWS,Notepad++;Visual Studio;Visual Studio Code,Windows,960000,40,"Less than half the time, but at least one day each week",Slightly satisfied,Slightly satisfied,25,Man,Man
158,Austria,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",16,10,Java;SQL;Other(s):,Oracle,Linux;Windows,Eclipse;IntelliJ;Notepad++,Windows,47244,40,Less than once per month / Never,Slightly satisfied,Very satisfied,29,Man,Man
164,United Kingdom,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",23,20,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Raspberry Pi;WordPress,Notepad++;Visual Studio;Visual Studio Code,Windows,62807,38,A few days each month,Very satisfied,Slightly satisfied,47,Man,Man
166,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","Developer, back-end;Developer, front-end;Developer, full-stack",7,6,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Ruby;SQL,DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,AWS;Docker;Linux,Vim,Linux-based,2000000,45,Less than once per month / Never,Slightly satisfied,Slightly satisfied,30,Man,Man
173,Germany,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","Developer, back-end;Developer, full-stack",8,7,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MySQL,AWS;Docker;Kubernetes,PHPStorm,MacOS,77911,44,Less than once per month / Never,Very satisfied,Slightly satisfied,31,Man,Man
174,India,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Developer, full-stack;DevOps specialist;Engineering manager",7,2,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R,Firebase;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Android;Arduino;Docker;Linux;Microsoft Azure;Raspberry Pi;Windows;WordPress,Android Studio;IPython / Jupyter;Visual Studio Code,Windows,2016,45,Less than once per month / Never,Slightly satisfied,Slightly satisfied,24,Man,Man
177,Australia,Employed full-time,"Yes, full-time",Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;Developer, mobile;Student",5,2,C#;Python;SQL,Microsoft SQL Server;MySQL;SQLite,Android;Microsoft Azure;Windows,PyCharm;Sublime Text;Visual Studio;Visual Studio Code,Windows,36265,45,"Less than half the time, but at least one day each week",Slightly satisfied,Slightly satisfied,22,Man,Man
179,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Database administrator;Developer, back-end;Developer, front-end;Developer, mobile;Product manager",6,3,HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift,Firebase;MongoDB;MySQL;PostgreSQL,Android;Docker;iOS,Android Studio;IntelliJ;PyCharm;Visual Studio Code,MacOS,70000,40,Less than once per month / Never,Very satisfied,Slightly dissatisfied,35,Man,Man
183,Hungary,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, desktop or enterprise applications;Developer, mobile",11,7,Dart;Go;Java;Kotlin;Swift,Firebase;Other(s):,Android;iOS;Other(s):,Android Studio;IntelliJ;Notepad++;Visual Studio Code;Xcode,Windows,46913,40,Less than once per month / Never,Slightly satisfied,Neither satisfied nor dissatisfied,30,Man,Man
184,Latvia,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",5,4,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Kotlin;Objective-C;Python;Rust;Swift,SQLite,Android;iOS;Linux;Windows;Other(s):,Android Studio;IntelliJ;PyCharm;Vim;Visual Studio;Visual Studio Code;Xcode,Linux-based,40101,40,A few days each month,Slightly satisfied,Slightly satisfied,29,Man,Man
188,United Kingdom,Employed full-time,"Yes, part-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"Data or business analyst;Engineer, data",10,7,C#;Python;R;SQL;VBA,Microsoft SQL Server,Windows,PyCharm;RStudio;Visual Studio;Visual Studio Code,Windows,65424,42,Less than once per month / Never,Very satisfied,Very satisfied,28,Man,Man
189,Hong Kong (S.A.R.),Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Engineer, data",6,3,C++;HTML/CSS;JavaScript;Python;SQL,MySQL;PostgreSQL,AWS;Google Cloud Platform;Linux;MacOS,IPython / Jupyter;Visual Studio Code,MacOS,61172,40,Less than once per month / Never,Slightly dissatisfied,Slightly satisfied,28,Man,Man
190,United Arab Emirates,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack",8,4,Java;Scala;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,AWS;Linux;Windows,Atom;Eclipse;Notepad++,Windows,24504,45,A few days each month,Slightly satisfied,Slightly satisfied,27,Man,Man
191,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist",10,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,AWS;Microsoft Azure;Windows,Vim;Visual Studio;Visual Studio Code,Windows,90000,40,A few days each month,Very satisfied,Slightly satisfied,27,Man,Man
192,Poland,Employed full-time,"Yes, full-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"Data scientist or machine learning specialist;Developer, full-stack;Scientist",6,2,Bash/Shell/PowerShell;JavaScript;Python,Elasticsearch;PostgreSQL;Redis,Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi;Slack,Vim;Visual Studio Code,Linux-based,28860,40,A few days each month,Slightly dissatisfied,Slightly dissatisfied,28,Man,Man
194,Poland,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, embedded applications or devices",11,5,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP,MySQL,Arduino;Linux;Raspberry Pi;Windows;Other(s):,IntelliJ;Notepad++;Vim;Visual Studio,Windows,12828,40,A few days each month,Very satisfied,Slightly satisfied,29,Man,Man
196,France,Employed full-time,"Yes, part-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack",20,16,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Windows,Notepad++;Visual Studio;Visual Studio Code,Windows,44684,37,It's complicated,Neither satisfied nor dissatisfied,Very dissatisfied,40,Man,Man
201,Portugal,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end",10,10,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;Scala,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Docker;Google Cloud Platform,IntelliJ;PyCharm;Visual Studio Code,MacOS,50868,30,A few days each month,Slightly satisfied,Very dissatisfied,35,Man,Man
202,Canada,Employed full-time,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, game or graphics;Developer, QA or test;System administrator",35,20,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript,Microsoft SQL Server;SQLite,Google Cloud Platform;Linux;MacOS;Windows,Sublime Text,Linux-based,72522,40,All or almost all the time (I'm full-time remote),Very satisfied,Very satisfied,45,Man,Man
207,Hong Kong (S.A.R.),Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, mobile;Developer, QA or test",20,10,Java,Firebase,Android;Docker;Google Cloud Platform,Android Studio,Linux-based,57349,45,A few days each month,Slightly dissatisfied,Neither satisfied nor dissatisfied,34,Man,Man
209,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","Developer, full-stack;DevOps specialist",9,9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,Linux,Atom;Notepad++;Sublime Text,MacOS,112800,40,All or almost all the time (I'm full-time remote),Slightly satisfied,Slightly dissatisfied,33,Man,Man
211,United States,Employed full-time,No,Associate degree,Web development or web design,"Developer, desktop or enterprise applications;Developer, full-stack",17,11,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,Microsoft SQL Server;SQLite,Android;iOS;Slack,Android Studio;Notepad++;Sublime Text;Visual Studio;Xcode,Windows,117800,40,A few days each month,Very satisfied,Slightly dissatisfied,30,Man,Man
213,United Arab Emirates,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end",26,22,Go;Python,DynamoDB;MariaDB;MySQL;SQLite,AWS;Linux,Notepad++;PyCharm;Vim,Windows,49006,40,Less than once per month / Never,Slightly dissatisfied,Very dissatisfied,41,Man,Man
216,Bulgaria,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"Developer, back-end;DevOps specialist",6,2,Go;Java;Python,PostgreSQL,AWS;Docker;Kubernetes;Linux;Microsoft Azure,IntelliJ;IPython / Jupyter;Vim;Visual Studio Code,Linux-based,58501,40,A few days each month,Very satisfied,Slightly dissatisfied,35,Man,Man
217,Netherlands,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)","Developer, back-end;Developer, front-end;Student",15,4,Go;HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;MySQL,Heroku;WordPress,Atom;PHPStorm;Visual Studio Code,MacOS,54996,36,A few days each month,Slightly satisfied,Very satisfied,36,Man,Man
219,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","Developer, full-stack;Product manager",20,15,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Windows,Notepad++;Visual Studio,Windows,110000,45,All or almost all the time (I'm full-time remote),Very dissatisfied,Very dissatisfied,39,Man,Man
223,Russian Federation,Employed full-time,"Yes, full-time","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, mobile",6,2,Java;Kotlin,SQLite,Android,Android Studio,Windows,6420,40,Less than once per month / Never,Slightly satisfied,Slightly dissatisfied,23,Woman,Woman
224,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;DevOps specialist;Engineer, site reliability",14,10,Go,MySQL;Redis,Docker;Kubernetes;Linux;Other(s):,Vim,Linux-based,233000,40,All or almost all the time (I'm full-time remote),Very satisfied,Very satisfied,28,Man,Man
231,Nicaragua,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end",11,8,Elixir;Go;JavaScript;Ruby;SQL,Elasticsearch;MariaDB;PostgreSQL;Redis,Google Cloud Platform;Kubernetes;Linux;Raspberry Pi,RubyMine,MacOS,80000,34,All or almost all the time (I'm full-time remote),Very satisfied,Very satisfied,31,Man,Man
232,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack;Developer, mobile",14,10,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript,Firebase;SQLite;Other(s):,Android;iOS;Linux;Microsoft Azure;Slack;Windows,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,120000,45,Less than once per month / Never,Very satisfied,Slightly satisfied,32,Man,Man
241,Canada,Employed full-time,No,Associate degree,"Computer science, computer engineering, or software engineering","Developer, full-stack",13,10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Redis,Microsoft Azure;Windows,Sublime Text;Visual Studio,Windows,65651,40,"Less than half the time, but at least one day each week",Very satisfied,Very satisfied,32,Man,Man
238,India,Employed full-time,"Yes, part-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Data or business analyst;Designer;Developer, full-stack;Developer, mobile",12,9,HTML/CSS;JavaScript;Objective-C;PHP;Python,MySQL;SQLite,iOS,PHPStorm;PyCharm;Sublime Text;Visual Studio Code;Xcode,MacOS,27986,98,Less than once per month / Never,Slightly satisfied,Very dissatisfied,31,Man,Man
246,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",5,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft Azure,IntelliJ;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Windows,88000,45,Less than once per month / Never,Slightly satisfied,Slightly satisfied,33,Man,Man
249,Hong Kong (S.A.R.),Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end",5,1,Bash/Shell/PowerShell;C#;HTML/CSS;Java;Python;SQL,Microsoft SQL Server;Redis,Linux;Windows,Eclipse;IPython / Jupyter;Notepad++;Visual Studio,Windows,30588,40,Less than once per month / Never,Slightly satisfied,Slightly satisfied,24,Man,Man
252,United Kingdom,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, mobile;DevOps specialist;Engineer, site reliability;System administrator",20,7,HTML/CSS;JavaScript;Rust;Swift;Other(s):,Microsoft SQL Server;PostgreSQL;Redis;SQLite,AWS;Docker;Heroku;iOS;Kubernetes,Atom;Vim;Xcode,MacOS,58881,35,"More than half, but not all, the time",Very satisfied,Very satisfied,27,Man,Man
254,Australia,Employed full-time,No,Associate degree,"Information systems, information technology, or system administration","Data or business analyst;Engineer, data",22,20,C#;Python;SQL;TypeScript,Microsoft SQL Server;Other(s):,Microsoft Azure,Visual Studio;Visual Studio Code,Windows,130554,45,Less than once per month / Never,Slightly satisfied,Slightly satisfied,41,Man,Man
259,Denmark,Employed full-time,No,Associate degree,"Computer science, computer engineering, or software engineering","Developer, full-stack",8,5,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,AWS;Google Cloud Platform;Microsoft Azure,Coda;Notepad++;Visual Studio;Visual Studio Code,Windows,92073,36,A few days each month,Slightly satisfied,Neither satisfied nor dissatisfied,31,Man,Man
261,United Kingdom,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, mobile",14,7,HTML/CSS;JavaScript,Firebase;MongoDB,Android;AWS;Docker;Google Cloud Platform;Heroku;iOS;MacOS;Slack;WordPress,Android Studio;Atom;Sublime Text;Visual Studio Code;Xcode,MacOS,235525,37,"Less than half the time, but at least one day each week",Very satisfied,Very satisfied,27,Man,Man
262,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, front-end;Developer, full-stack;Engineer, data",9,2,C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Couchbase;MongoDB;Microsoft SQL Server,Android;Arduino;Docker;Linux;MacOS;Slack,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;PyCharm;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,864000,40,A few days each month,Very satisfied,Very satisfied,24,Man,Man
268,Japan,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","Developer, back-end;DevOps specialist",6,1,C;Java;PHP;Ruby,MySQL;PostgreSQL,AWS;Docker;Heroku;Linux;MacOS;Slack,PHPStorm;Sublime Text,MacOS,29225,42,Less than once per month / Never,Neither satisfied nor dissatisfied,Slightly satisfied,25,Man,Man
273,Canada,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;Engineer, data",19,9,Bash/Shell/PowerShell;C++;Clojure;Erlang;HTML/CSS;Java;JavaScript;Ruby;Scala,MongoDB;MySQL;Oracle;PostgreSQL;Other(s):,Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Slack;Windows;Other(s):,IntelliJ;RubyMine;Vim;Visual Studio Code,MacOS,1000000,40,A few days each month,Slightly satisfied,Very dissatisfied,29,Man,Man
275,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack",21,16,C#;HTML/CSS;Java;JavaScript;Objective-C;Python;Ruby;Rust;SQL;TypeScript,DynamoDB;Microsoft SQL Server;PostgreSQL;SQLite,Android;AWS;Google Cloud Platform;Heroku;iOS;Microsoft Azure,Android Studio;Sublime Text;Visual Studio;Visual Studio Code,Windows,130000,50,Less than once per month / Never,Very satisfied,Neither satisfied nor dissatisfied,34,Man,Man
276,Israel,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack",6,3,HTML/CSS;Java;JavaScript;Scala;SQL,MySQL,AWS;Linux,IntelliJ;Sublime Text,Linux-based,79176,48,Less than once per month / Never,Slightly satisfied,Slightly satisfied,29,Man,Man
277,Russian Federation,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, embedded applications or devices",12,8,Bash/Shell/PowerShell;C;C++;Python,MongoDB,Linux,Visual Studio Code,Linux-based,23832,40,A few days each month,Slightly satisfied,Neither satisfied nor dissatisfied,29,Man,Man
279,Ireland,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack;Developer, QA or test",13,4,HTML/CSS;Java;JavaScript;PHP;Python;SQL,MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Kubernetes;Linux;Slack;Windows,Notepad++;PyCharm;Visual Studio Code,Linux-based,63016,38,Less than once per month / Never,Very satisfied,Slightly satisfied,27,Man,Man
280,United States,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","Developer, back-end;Developer, front-end;Developer, full-stack;Senior executive/VP",25,22,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Windows,Notepad++;Visual Studio;Visual Studio Code,Windows,0,50,"Less than half the time, but at least one day each week",Very satisfied,Very satisfied,47,Man,Man
285,United Kingdom,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;DevOps specialist",6,2,C#;HTML/CSS;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL;Oracle;SQLite,Windows;WordPress,Atom;Notepad++;Visual Studio;Visual Studio Code,Windows,471048,37.5,Less than once per month / Never,Slightly satisfied,Slightly satisfied,32,Man,Man
286,Ireland,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, full-stack",8,3,Dart;HTML/CSS;JavaScript;Python;TypeScript;Other(s):,DynamoDB;Elasticsearch;Firebase;MySQL,AWS;Windows,Visual Studio Code,Windows,618708,38,Less than once per month / Never,Very satisfied,Very satisfied,23,Man,Man
289,United States,Employed full-time,No,Some college/university study without earning a degree,Web development or web design,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",22,10,C++;C#;PHP;Rust;TypeScript,MySQL;Redis,Linux,PHPStorm;Vim;Visual Studio Code,Linux-based,130000,40,It's complicated,Slightly satisfied,Slightly satisfied,37,Man,Man
292,United States,Employed full-time,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, front-end;Developer, full-stack",15,8,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Google Cloud Platform;Microsoft Azure,Visual Studio;Visual Studio Code,Windows,115000,40,About half the time,Very satisfied,Very satisfied,27,Man,Man
293,Netherlands,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, full-stack;Developer, mobile",9,6,HTML/CSS;Java;JavaScript;SQL,Firebase;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Docker;Heroku;Linux;Raspberry Pi;WordPress,Android Studio;Atom;IntelliJ;Vim,Linux-based,0,40,A few days each month,Very satisfied,Slightly satisfied,31,Man,Man
302,Germany,Employed full-time,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics",15,7,Bash/Shell/PowerShell;C#;Python;Other(s):,Elasticsearch;Other(s):,Docker;Google Cloud Platform;Linux,Sublime Text;Vim;Visual Studio;Visual Studio Code,Linux-based,72182,40,"Less than half the time, but at least one day each week",Slightly satisfied,Neither satisfied nor dissatisfied,33,Man,Man
